turbidity,source,taste,odour,colour,result
Low,River,Normal,Sulphur,Yellow,As per  given details the water consists sulfur bacteria or hydrogen sulfide.And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Fishy,Red-Brown,As per  given  details   the water consists combination of chlorine and ammonia which together create a compound called Chloramine  and  in the  state of  during or before  decomposition of algae .
Low,River,Normal,Fishy,Black-Dark Brown,As per  given  details   the water consists combination of chlorine and ammonia which together create a compound called Chloramine manganese in drinking water and organic matter
Low,River,Normal,Fishy,Yellow-Brown,As per  given  details   the water consists combination of chlorine and ammonia which together create a compound called Chloramine Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matter Human substance) and  large amount sediment deposition
Low,River,Normal,Fishy,Blue-Green,As per  given  details   the water consistes combination of chlorine and ammonia which together create a compound called Chloramine may   be contact of  water  with copper  or corried   water
Low,River,Normal,Fishy,White,As per  given  details   the water consists combination of chlorine and ammonia which together create a compound called Chloramine.Foaming Agents air bubbles
Low,River,Normal,Fishy,Black,As per  given  details   the water consists combination of chlorine and ammonia which together create a compound called Chloramine manganese in drinking water and organic matter
Low,River,Normal,Fishy,Brown,As per  given  details   the water consists combination of chlorine and ammonia which together create a compound called Chloramine iron contents in water
Low,River,Normal,Fishy,Orange,As per  given  details   the water consists combination of chlorine and ammonia which together create a compound called Chloramine.And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter.
Low,River,Normal,Fishy,Cloudy-White,As per  given  details   the water consists combination of chlorine and ammonia which together create a compound called Chloramine.Foaming Agents air bubbles.
Low,River,Normal,Fishy,Yellow,As per  given  details   the water consists combination of chlorine and ammonia which together create a compound called Chloramine.And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Wet Dog Odour,Red-Brown, As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminants. and  in the  state of  during or before  decomposition of algae
Low,River,Normal,Wet Dog Odour,Black-Dark Brown, As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminantsand  manganese in drinking water and organic matter
Low,River,Normal,Wet Dog Odour,Yellow-Brown, As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminantsNaturally occurring organic compounds tannins (derived from the decomposition of plant and animal matterHumic substance) and  large amount sediment deposition
Low,River,Normal,Wet Dog Odour,Blue-Green, As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminant  may   be contact of  water  with copper  or corried   water
Low,River,Normal,Wet Dog Odour,White,As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminantsFoaming Agents air bubbles
Low,River,Normal,Wet Dog Odour,Black,As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminantsmanganese in drinking water and organic matter
Low,River,Normal,Wet Dog Odour,Brown,As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminantsiron contents in water
Low,River,Normal,Wet Dog Odour,Orange,As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminants
Low,River,Normal,Wet Dog Odour,Cloudy-White,As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminants.Foaming Agents air bubbles.
Low,River,Normal,Wet Dog Odour,Yellow,As per given details   the water consists  of concentrations of metal in your pipes organisms and/or bacteria chemicals used to remove said organisms or simply environmental contaminantsAnd natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Sewage Odour,Reddish Brown,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials sitting in your drain  and  in the  state of  during or before  decomposition of algae
Low,River,Normal,Sewage Odour,Black-Dark Brown,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials sitting in your drain  and  manganese in drinking water and organic matter
Low,River,Normal,Sewage Odour,Yellow-Brown,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials sitting in your drain Naturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    )
Low,River,Normal,Sewage Odour,Blue-Green,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials sitting in your drain . may   be contact of  water  with copper  or corried   water
Low,River,Normal,Sewage Odour,White,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials sitting in your drainFoaming Agents air bubbles
Low,River,Normal,Sewage Odour,Black,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials sitting in your drain manganese in drinking water and organic matter
Low,River,Normal,Sewage Odour,Brown,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials sitting in your drain iron contents in water
Low,River,Normal,Sewage Odour,Orange,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials sitting in your drain .And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Sewage Odour,Cloudy-White,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials sitting in your drain  .And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Sewage Odour,Yellow,As per given details   the  stage of  water is presence of bacteria that come from food soap or other materials .And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Bleach or chlorine,Red-Brown,presence of excess chlorine in water which  is not harmful  health and  in the  state of  during or before  decomposition of algae
Low,River,Normal,Bleach or chlorine,Black-Dark Brown,presence of excess chlorine in water which  is not harmful  health  manganese in drinking water and organic matter
Low,River,Normal,Bleach or chlorine,Yellow-Brown,presence of excess chlorine in water which  is not harmful  health Naturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    )
Low,River,Normal,Bleach or chlorine,Blue-Green,presence of excess chlorine in water which  is not harmful  health may   be contact of  water  with copper  or corried   water
Low,River,Normal,Bleach or chlorine,White,presence of excess chlorine in water which  is not harmful  health .And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Bleach or chlorine,Black,presence of excess chlorine in water which  is not harmful  health manganese in drinking water and organic matter
Low,River,Normal,Bleach or chlorine,brown,presence of excess chlorine in water which  is not harmful  health .And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water.And iron contents in water
Low,River,Normal,Bleach or chlorine,Orange,presence of excess chlorine in water which  is not harmful  health And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Bleach or chlorine,Cloudy-White,presence of excess chlorine in water which  is not harmful  health .And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Bleach or chlorine,Yellow,presence of excess chlorine in water which  is not harmful  health And natural dissolved organic acids such as tannins and lignins
Low,River,Normal,Musty,Red-Brown,As per given details the water losing its fresh ness due to decomposition organic matter presence of pollutants and it is un pleasantand  in the  state of  during or before  decomposition of algae
Low,River,Normal,Musty,Black-Dark Brown,As per given details the water losing its freshness due to decomposition organic matter presence of pollutants and it is un pleasant    manganese in drinking water and organic matter.
Low,River,Normal,Musty,Yellow-Brown,As per given details the water losing its fresh ness due to decomposition organic matter presence of pollutants and it is un pleasantNaturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    )
Low,River,Normal,Musty,Blue-Green,As per given details the water losing its fresh ness due to decomposition organic matter presence of pollutants and it is un pleasantmay   be contact of  water  with copper  or corried   water
Low,River,Normal,Musty,White,As per given details the water losing its freshness due to decomposition organic matter presence of pollutants and it is un pleasant.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Musty,Black,As per given details the water losing its freshness due to decomposition organic matter presence of pollutants and it is un pleasantmanganese in drinking water
Low,River,Normal,Musty,brown,As per given details the water losing its freshness due to decomposition organic matter presence of pollutants and it is un pleasant .And iron contents in water
Low,River,Normal,Musty,Orange,As per given details the water losing its freshness due to decomposition organic matter presence of pollutants and it is un pleasant
Low,River,Normal,Musty,Cloudy-White,As per given details the water losing its freshness due to decomposition organic matter presence of pollutants and it is un pleasant.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Musty,Yellow,As per given details the water losing its freshness due to decomposition organic matter presence of pollutants and it is un pleasant  such as natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Earthen,Red-Brown,As per given details mostly contains of sediment particles likes clay sand etc .and  in the  state of  during or before  decomposition of algae
Low,River,Normal,Earthen,Black-Dark Brown,As per given details mostly contains of sediment particles likes clay sand etc .And  manganese in drinking water and organic matter
Low,River,Normal,Earthen,Yellow-Brown,As per given details mostly contains of sediment particles likes clay sand etc Naturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    )
Low,River,Normal,Earthen,Blue-Green,As per given details mostly contains of sediment particles likes clay sand etc may   be contact of  water  with copper  or corried   water
Low,River,Normal,Earthen,White,As per given details mostly contains of sediment particles likes clay sand etc.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Earthen,Black,As per given details mostly contains of sediment particles likes clay sand etc.manganese in drinking water and organic matter
Low,River,Normal,Earthen,brown,As per given details mostly contains of sediment particles likes clay sand etc .And iron contents in water
Low,River,Normal,Earthen,Orange,As per given details mostly contains of sediment particles likes clay sand etc.with natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Earthen,Cloudy-White,As per given details mostly contains of sediment particles likes clay sand etc.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Earthen,Yellow,As per given details mostly contains of sediment particles likes clay sand etc  .And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Grassy,Red-Brown,As per given details  water is contact with  grass for a long time it leads to grass smell and  in the  state of  during or before  decomposition of algae
Low,River,Normal,Grassy,Black-Dark Brown, As per given details  water is contact with  grass for a long time it leads to grass smell .and  manganese in drinking water and organic matter
Low,River,Normal,Grassy,Yellow-Brown,As per given details  water is contact with  grass for a long time it leads to grass smellNaturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    )
Low,River,Normal,Grassy,Blue-Green,As per given details  water is contact with  grass for a long time it leads to grass smell may   be contact of  water  with copper  or corried   water
Low,River,Normal,Grassy,White,As per given details  water is contact with  grass for a long time it leads to grass smell.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Grassy,Black,As per given details  water is contact with  grass for a long time it leads to grass smell manganese in drinking water and organic matter
Low,River,Normal,Grassy,brown,As per given details  water is contact with  grass for a long time it leads to grass smell .And iron contents in water
Low,River,Normal,Grassy,Orange,As per given details  water is contact with  grass for a long time it leads to grass smell with natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Grassy,Cloudy-White,As per given details  water is contact with  grass for a long time it leads to grass smell.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Grassy,Yellow,As per given details  water is contact with  grass for a long time it leads to grass smell .And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Moldy,Red-Brown,As per given details from organic matter such as plants animals or bacteria that are naturally present in lakes and reservoirs during certain timesand  in the  state of  during or before  decomposition of algae
Low,River,Normal,Moldy,Black-Dark Brown,As per given details from organic matter such as plants animals or bacteria that are naturally present in lakes and reservoirs during certain times .and  manganese in drinking water and organic matter
Low,River,Normal,Moldy,Yellow-Brown,As per given details from organic matter (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    ) are naturally present in lakes and reservoirs during certain times
Low,River,Normal,Moldy,Blue-Green,As per given details from organic matter such as plants animals or bacteria that are naturally present in lakes and reservoirs during certain times.And may   be contact of  water  with copper  or corried   water
Low,River,Normal,Moldy,White,As per given details from organic matter such as plants animals or bacteria that are naturally present in lakes and reservoirs during certain times .And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Moldy,Black,As per given details from organic matter such as plants animals or bacteria that are naturally present in lakes and reservoirs during certain times.manganese in drinking water
Low,River,Normal,Moldy,Brown,As per given details from organic matter such as plants animals or bacteria that are naturally present in lakes and reservoirs during certain times..And iron contents in water
Low,River,Normal,Moldy,Orange,As per given details from organic matter such as plants animals or bacteria that are naturally present in lakes and reservoirs during certain times
Low,River,Normal,Moldy,Cloudy-White,As per given details from organic matter such as plants animals or bacteria that are naturally present in lakes and reservoirs during certain times.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,moldy,Yellow,As per given details from organic matter such as plants animals or bacteria that are naturally present in lakes and reservoirs during certain times
Low,River,Normal,Terpentain,Red-Brown,presence of Petroleum gasoline fuel and  hydrocarbons  products and not fit for drinking and  in the  state of  during or before  decomposition of algae
Low,River,Normal,Terpentain,Black-Dark Brown, presence of Petroleum gasoline fuel and  hydrocarbons  products and not fit for drinking.And  manganese in drinking water and organic matter
Low,River,Normal,Terpentain,Yellow-Brown, presence of Petroleum gasoline fuel and  hydrocarbons  products and not fit for drinking.and Naturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    )
Low,River,Normal,Terpentain,Blue-Green, presence of Petroleum gasoline fuel and  hydrocarbons  products and not fit for drinking
Low,River,Normal,Terpentain,White, presence of Petroleum gasoline fuel and  hydrocarbons  products and not fit for drinking.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Terpentain,Black, presence of Petroleum gasoline fuel and  hydrocarbons  products and not fit for drinking.manganese in drinking water and organic matter
Low,River,Normal,Terpentain,Brown, presence of Petroleum gasoline fuel and  hydrocarbons  products and not fit for drinking..And iron contents in water
Low,River,Normal,Terpentain,Orange, presence of Petroleum gasoline fuel and  hydrocarbons  products and not fit for drinkingAnd natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter.
Low,River,Normal,Terpentain,Cloudy-White, presence of Petroleum gasoline fuel and  hydrocarbons  products and not fit for drinking.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Terpentain,Yellow, presence of Petroleum gasolinefuel and  hydro corbons  products and not fit for drinking  .And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,Red-Brown,As per given deatails   Gasoline or oil contamination(fuelspetrol) possibly nuisance bacteria Industrial  contamination and hydro carbon sand  in the  state of  during or before  decomposition of algae
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,Black-Dark Brownn,As per given deatails Gasoline or oil contamination(fuelspetrol) possibly nuisance bacteria Industrial  contamination and hydrocarbons. And  manganese in drinking water and organic matter
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,Yellow-Brown,As per given deatails Gasoline or oil contamination(fuels petrol) possibly nuisance bacteria Industrial  contamination and hydrocarbons And Naturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    )
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,Blue-Green,As per given deatails Gasoline or oil contamination(fuels petrol) possibly nuisance bacteria Industrial  contamination and hydrocarbons.and may   be contact of  water  with copper  or corried   water
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,White,As per given details Gasoline or oil contamination(fuels petrol) possibly nuisance bacteria Industrial  contamination and hydrocarbons.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,Black,As per given details Gasoline or oil contamination(fuels petrol) possibly nuisance bacteria Industrial  contamination and hydrocarbons.manganese in drinking water and organic matter
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,Brown,As per given details Gasoline or oil contamination(fuels petrol) possibly nuisance bacteria Industrial  contamination and hydrocarbons..And iron contents in water
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,Orange,As per given details Gasoline or oil contamination(fuelspetrol) possibly nuisance bacteria Industrial  contamination and hydrocarbons And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,Cloudy-White,As per given details Gasoline or oil contamination(fuelspetrol) possibly nuisance bacteria Industrial  contamination and hydrocarbons.And Precipitation of carbonates excessive air suspended solids foaming agents  leads to milky or white water
Low,River,Normal,Petroleum-Gasoline-Fuel-Sovent Odour,Yellow,As per given details Gasoline or oil contamination(fuelspetrol) possibly nuisance bacteria Industrial  contamination and hydrocarbons
Low,River,Salty,Rotten Egg,Red-Brown, As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.And it is   in state of  during or before  decomposition of algae
Low,River,Salty,Rotten Egg,Black-Dark Brownn,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.  manganese in drinking water and organic matter
Low,River,Salty,Rotten Egg,Yellow-Brown,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.Naturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    )
Low,River,Salty,Rotten Egg,Blue-Green,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.contact of  water  with copper
Low,River,Salty,Rotten Egg,White,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.Foaming Agents .air bubbles
Low,River,Salty,Rotten Egg,Black,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source. manganese in drinking water and organic matter
Low,River,Salty,Rotten Egg,Brown,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source. Iron content in your  water in water
Low,River,Salty,Rotten Egg,Orange,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Salty,Rotten Egg,Cloudy-White,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.Foaming Agents .air bubbles
Low,River,Salty,Rotten Egg,Yellow, As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Salty,Sulphur,Red-Brown, As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.And it is   in state of  during or before  decomposition of algae
Low,River,Salty,Sulphur,Black-Dark Brownn,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.  manganese in drinking water and organic matter
Low,River,Salty,Sulphur,Yellow-Brown, As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.Naturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance and large amount sediment deposition    )
Low,River,Salty,Sulphur,Blue-Green,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.contact of  water  with copper
Low,River,Salty,Sulphur,White,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.Foaming Agents  and air bubbles
Low,River,Salty,Sulphur,Black,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source. manganese in drinking water and organic matter
Low,River,Salty,Sulphur,Brown,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source. Iron content in your  water in water
Low,River,Salty,Sulphur,Orange,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Salty,Sulphur,Cloudy-White,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.Foaming Agents .air bubbles
Low,River,Salty,Sulphur,Yellow,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate sodium sulfate  and sulfur bacteria or hydrogen sulfide)and  chloride ions in your water source.And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Salty,Fishy,Red-Brown,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia).And it is   in state of  during or before  decomposition of algae
Low,River,Salty,Fishy,Black-Dark Brownn,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia) .And manganese in drinking water and organic matter
Low,River,Salty,Fishy,Yellow-Brown,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia).Naturally occurring organic compounds (tannins  derived from the decomposition of plant and animal matterHumic substance) and large amount sediment deposition
Low,River,Salty,Fishy,Blue-Green,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia). And contact of  water  with copper
Low,River,Salty,Fishy,White,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia) Foaming Agents  and air bubbles
Low,River,Salty,Fishy,Black,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia) .and  manganese in drinking water and organic matter
Low,River,Salty,Fishy,Brown,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia).Iron content in your  water in water
Low,River,Salty,Fishy,Orange,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia).And natural dissolved organic matter (e.g. tannins leaves roots and other vegetative matter)
Low,River,Salty,Fishy,Cloudy-White,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia). Foaming Agents  and air bubbles
Low,River,Salty,Fishy,Yellow,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate)chloride ions Barium in your water source  and  Chloramine(combination of chlorine and ammonia).And natural dissolved organic matter (e.g. tanninsleaves roots and other vegetative matter)
Low,River,Salty,Wet Dog Odour,Red-Brown,As per given details  the water consists of a High concentration of sulfates(Sulfates such as magnesium sulfate and sodium sulfate) And Organic matter  environmental contaminants .And  it is   in state of  during or before  decomposition of algae
